Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.861822271877315, 2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271877315], ""type"": ""Point""}";170.0;Châtelet-Les Halles;Châtelet-Les Halles;;;474151.0;Châtelet les Halles;45102.0;Châtelet les Halles;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;RATP;1.0;1.0;652093.2251000032;6862619.066599999;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Châtelet-Les Halles
48.61342791267343, 2.4729336504587436;"{""coordinates"": [2.472933650458744, 48.61342791267343], ""type"": ""Point""}";207.0;Corbeil-Essonnes;Corbeil-Essonnes;;;60309.0;Corbeil-Essonnes;43115.0;Corbeil-Essonnes;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;1.0;661146.9909999967;6834933.311700001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Corbeil-Essonnes
48.605555825457074, 2.4624564927796966;"{""coordinates"": [2.462456492779697, 48.605555825457074], ""type"": ""Point""}";270.0;Essonnes-Robinson;Essonnes-Robinson;;;422776.0;Essonnes Robinson;45759.0;Essonnes Robinson;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;660368.7153000012;6834063.387899999;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Essonnes-Robinson
48.6342683114477, 2.4525733922724497;"{""coordinates"": [2.45257339227245, 48.6342683114477], ""type"": ""Point""}";276.0;Évry;Évry;Val de Seine;;60522.0;Évry;45745.0;Évry;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;659662.2083000019;6837260.350299999;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Évry
48.39364154681916, 2.3934107240666367;"{""coordinates"": [2.393410724066637, 48.39364154681916], ""type"": ""Point""}";503.0;Maisse;Maisse;;;59470.0;Maisse;43156.0;Maisse;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;655097.3352999985;6810544.236900002;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Maisse
48.293591767794474, 2.401133894429584;"{""coordinates"": [2.401133894429584, 48.293591767794474], ""type"": ""Point""}";955.0;Malesherbes;Malesherbes;;;411486.0;Malesherbes;411485.0;Malesherbes;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;RER D;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;0.0;1.0;655584.6925000027;6799419.8303;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Malesherbes
48.5705968577978, 2.432098533660357;"{""coordinates"": [2.432098533660357, 48.5705968577978], ""type"": ""Point""}";534.0;Mennecy;Mennecy;;;59984.0;Mennecy;47899.0;Mennecy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;658102.6114000008;6830192.787900001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Mennecy
49.13828637435187, 2.490178985421195;"{""coordinates"": [2.490178985421195, 49.13828637435187], ""type"": ""Point""}";957.0;Orry-la-Ville-Coye-la-Forêt;Orry-la-Ville-Coye-la-Forêt;;;411422.0;Orry-la-Ville - Coye;411421.0;Orry-la-Ville - Coye;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;0.0;1.0;662795.0402999967;6893286.621300001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Orry-la-Ville-Coye-la-Forêt
48.59556383707042, 2.583947711061251;"{""coordinates"": [2.583947711061251, 48.59556383707042], ""type"": ""Point""}";787.0;Savigny-le-Temple-Nandy;Savigny-le-Temple-Nandy;;;62290.0;Savigny-le-Temple - Nandy;47665.0;Savigny-le-Temple - Nandy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;669319.9086000025;6832898.502799999;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Savigny-le-Temple-Nandy
48.59281218941942, 2.461550180897488;"{""coordinates"": [2.461550180897488, 48.59281218941942], ""type"": ""Point""}";894.0;Villabé;Villabé;;;60124.0;Villabé;47904.0;Villabé;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;660292.2364000008;6832647.1609000005;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Villabé
48.99377714597224, 2.4161874889269837;"{""coordinates"": [2.416187488926984, 48.99377714597224], ""type"": ""Point""}";909.0;Villiers-le-Bel-Gonesse-Arnouville;Villiers-le-Bel-Gonesse-Arnouville;;;66009.0;Villiers-le-Bel - Gonesse - Arnouville;43222.0;Villiers-le-Bel - Gonesse - Arnouville;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;657276.6642000005;6877252.6000000015;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Villiers-le-Bel-Gonesse-Arnouville
48.881759488231914, 2.357570193470877;"{""coordinates"": [2.357570193470877, 48.881759488231914], ""type"": ""Point""}";310.0;Gare du Nord;Gare du Nord;;;478733.0;Gare du Nord;58572.0;Magenta;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;1.0;652885.8017999977;6864829.589200001;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Gare du Nord
48.341663543697, 2.3788154433118907;"{""coordinates"": [2.378815443311891, 48.341663543697], ""type"": ""Point""}";81.0;Boigneville;Boigneville;;;59420.0;Boigneville;43092.0;Boigneville;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;653971.495099999;6804775.446199998;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Boigneville
48.53150198556537, 2.3705184977367075;"{""coordinates"": [2.370518497736708, 48.53150198556537], ""type"": ""Point""}";48.0;Ballancourt;Ballancourt;;;59825.0;Ballancourt;43087.0;Ballancourt;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;653524.9403999969;6825881.3486;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Ballancourt
48.699106946033055, 2.5066769825470883;"{""coordinates"": [2.506676982547088, 48.699106946033055], ""type"": ""Point""}";114.0;Brunoy;Brunoy;;;67476.0;Brunoy;58873.0;Brunoy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;663693.8775999993;6844442.4782;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Brunoy
